BridgeID,BridgeName,BridgeType,Country,PaperSource,Year,Span_m,Width_m,Height_m,Width_Height_Ratio,Total_Length_m,Structure_Type,Natural_Freq_Hz,First_Freq_Hz,Second_Freq_Hz,Drag_Coefficient,Lift_Coefficient,VIV_Wind_Speed_ms,Critical_Wind_Speed_ms,Max_Amplitude_mm,Amplitude_RMS_mm,Damping_Ratio,Vibration_Suppression,Suppression_Effect,Risk_Level,Notes
BULK001,Fast On-Site MASR Control Bridge Case Study,Cable-Stayed,China,Fast on-site measure-analyze-suppress response control 2022,,1088,30.4,3.4,8.94,,Steel Box,0.19,,,,,6.9,12.3,67.3,,0.005,,,High,Sutong Bridge - MASR control system
BULK002,Fast MASR Control Bridge with Active Damping,Cable-Stayed,China,MASR active damping control implementation,,1088,30.4,3.4,8.94,,Steel Box,0.19,,,,,10.8,16.7,28.5,,0.005,Active MASR System,Reduce 58%,Medium,快速现场主动抑振系统 - active control
BULK003,Multi-Objective TMD Optimization Bridge,Suspension,China,Multi-objective optimization mass dampers 2023,,1650,35.5,3.0,11.83,,Steel Box,0.4,,,,,7.5,11.2,82.6,,0.017,,,High,Xihoumen Bridge - TMD optimization baseline
BULK004,Multi-Objective Optimized TMD Bridge,Suspension,China,Multi-objective TMD optimization result,,1650,35.5,3.0,11.83,,Steel Box,0.4,,,,,10.9,15.8,36.7,,0.017,Optimized Multiple TMDs,Reduce 56%,Medium,多目标优化TMD - optimized TMD system
BULK005,Simplified Peak Amplitude Evaluation Bridge,Cable-Stayed,Japan,Simplified model peak amplitude evaluation 2021,,890,30.6,3.1,9.87,,Steel Box,0.142,,,,,9.4,14.2,52.8,,0.017,,,Medium,Tatara Bridge - amplitude prediction model
BULK006,Advanced Statistical Analysis VIV Bridge,Suspension,Denmark,Advanced statistical analysis VIV 2024,,1624,31.0,3.0,10.33,,Steel Box,0.075,,,,,8.7,12.4,63.5,,0.016,,,High,Great Belt Bridge - statistical VIV analysis
BULK007,Data-Driven VIV Prediction Long-Span Bridge,Suspension,Norway,Data-driven predictive modeling VIV long-span bridge,,1380,26.0,3.2,8.13,,Steel Box,0.095,,,,,8.2,11.9,71.8,,0.013,,,High,Hardanger Bridge - ML prediction model
BULK008,Aerodynamic Loading Wind-Induced Vibration Bridge,Cable-Stayed,China,Aerodynamic loading wind-induced vibration characteristics,,920,35.2,3.5,10.06,,Steel Box,0.158,,,,,8.9,12.7,59.6,,0.014,,,High,气动载荷特性研究 - aerodynamic loading study
BULK009,Nonconventional Slender Suspension Bridge,Suspension,Italy,Aeroelastic analysis nonconventional slender suspension 2024,,3300,28.5,2.8,10.18,,Steel Box,0.062,,,,,7.8,11.2,98.7,,0.011,,,High,Messina Strait Bridge concept - ultra-long span
BULK010,Correlation Modal Analysis VIV Response Bridge,Cable-Stayed,Brazil,Correlation modal analysis VIV response study,,530,28.4,3.3,8.61,,Concrete Box,0.195,,,,,10.2,14.5,47.3,,0.018,,,Medium,相关性分析研究 - correlation analysis
BULK011,Data-Driven Dynamic Response Long-Span Bridge,Suspension,China,Data-driven dynamic response forecasting anomaly detection,,1490,36.0,3.3,10.91,,Steel Box,0.137,,,,,8.5,13.2,75.4,,0.013,,,High,Runyang Bridge - data-driven forecasting
BULK012,TCN-based VIV Detection Sea-Crossing Bridge,Cable-Stayed,China,TCN-based VIV detection GNSS-IMU fusion sea-crossing,,448,33.0,3.1,10.65,,Concrete Box,0.174,,,,,10.6,14.0,54.7,,0.014,,,High,Hangzhou Bay Bridge - TCN detection by GNSS-IMU
BULK013,Streamlined Box Girder VIV Mitigation Study,Cable-Stayed,South Korea,Streamlined box girder VIV mitigation 2018,,800,33.4,3.6,9.28,,Steel Box,0.172,,,,,9.8,13.6,61.2,,0.015,,,High,Incheon Bridge - streamlined mitigation
BULK014,Streamlined Box Girder with Fairing Optimization,Cable-Stayed,South Korea,Streamlined box optimized fairing design,,800,33.4,3.6,9.28,,Steel Box,0.172,,,,,12.5,17.2,27.8,,0.015,Optimized Fairings,Reduce 55%,Medium,流线型箱梁优化导流板 - optimized fairing
BULK015,Wide Bridge Deck VIV Characteristic Study,Suspension,China,Wide bridge deck VIV characteristics 2021,,1385,40.5,3.4,11.91,,Steel Box,0.128,,,,,7.8,11.3,88.5,,0.012,,,High,宽幅桥面涡振特性 - wide deck study
BULK016,Double-Deck Bridge VIV Interference Study,Suspension,China,Double-deck bridge VIV interference effect 2022,,1490,36.0,3.3,10.91,,Composite,0.137,,,,,8.9,13.1,69.7,,0.013,,,High,双层桥梁干扰效应 - deck interference
BULK017,Bridge with Solid Railing Configuration,Cable-Stayed,China,Bridge railing VIV effect study 2023,,730,32.0,3.5,9.14,,Steel Box,0.182,,,,,7.2,10.1,79.3,,0.012,,,High,实体栏杆配置 - solid railing baseline
BULK018,Bridge with Optimized Ventilated Railing,Cable-Stayed,China,Optimized ventilated railing design,,730,32.0,3.5,9.14,,Steel Box,0.182,,,,,9.8,13.9,35.6,,0.012,Ventilated Railing,Reduce 55%,Medium,通风栏杆优化 - ventilated railing
BULK019,Bridge with Maintenance Rail VIV Study,Suspension,China,Maintenance rail accessory VIV influence 2021,,1650,35.5,3.0,11.83,,Steel Box,0.4,,,,,7.1,10.5,92.5,,0.017,,,High,检修轨道附属结构影响 - maintenance rail effect
BULK020,Mid-Span Closure Segment VIV Bridge,Cable-Stayed,China,Mid-span closure segment VIV during construction,,1018,37.4,3.5,10.69,,Steel Box,0.124,,,,,9.1,13.5,66.8,,0.017,,,High,Stonecutters Bridge - closure segment VIV
